control_event_id,date,record_status,depot,product,stock_status,event_label,opening_stock_m3,customer_orders_m3,closing_stock_m3,days_of_cover,batch_triggered,batch_volume_m3,emergency_replenishment,autonomous_action
CP-0000001,2021-01-05,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10152.18,1304.84,8847.33,6.78,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000002,2021-01-12,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10271.05,1118.56,9152.49,8.18,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000003,2021-01-17,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,LOADING_BAY_OUTAGE,12782.33,1031.11,11751.21,11.4,0,0.0,0,NONE
CP-0000004,2021-01-18,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,UNPLANNED_PUMP_FAILURE,11751.21,1030.44,10720.77,10.4,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000005,2021-01-19,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,DATA_LATENCY_INCIDENT,10720.77,1216.0,9504.77,7.82,0,0.0,0,NONE
CP-0000006,2021-01-20,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9504.77,1231.15,8273.62,6.72,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000007,2021-01-27,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9900.02,1246.48,8653.53,6.94,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000008,2021-01-29,SIMULATED_HISTORY,Eldoret,AGO,WATCH,PLANNED_PIPELINE_MAINTENANCE,7447.08,1096.22,6350.85,5.79,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000009,2021-02-03,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10450.65,1064.03,9386.62,8.82,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000010,2021-02-04,SIMULATED_HISTORY,Eldoret,AGO,WATCH,DATA_LATENCY_INCIDENT,9386.62,1050.21,8336.4,7.94,0,0.0,0,NONE
CP-0000011,2021-02-06,SIMULATED_HISTORY,Eldoret,AGO,HEALTHY,LOADING_BAY_OUTAGE,15513.43,1012.29,14501.14,14.33,0,0.0,0,NONE
CP-0000012,2021-02-12,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9457.72,1189.17,8268.55,6.95,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000013,2021-02-19,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10419.92,1244.68,9175.24,7.37,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000014,2021-02-27,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,10220.38,972.09,9248.3,9.51,1,8160.0,0,CREATE_PIPELINE_BATCH
CP-0000015,2021-03-07,SIMULATED_HISTORY,Eldoret,AGO,WATCH,NORMAL,9983.4,899.88,9083.52,10.09,1,8160.0,0,CREATE_PIPELINE_BATCH
