order_id,date,depot,product,customer_id,ordered_m3,fulfilled_m3,priority,source_type
ORD-0000001,2026-09-03,Eldoret,AGO,OMC_A,333.76,333.76,NORMAL,SYNTHETIC_SCENARIO
ORD-0000002,2026-09-03,Eldoret,AGO,OMC_B,153.17,153.17,NORMAL,SYNTHETIC_SCENARIO
ORD-0000003,2026-09-03,Eldoret,AGO,OMC_C,124.12,124.12,NORMAL,SYNTHETIC_SCENARIO
ORD-0000004,2026-09-03,Eldoret,AGO,OMC_D,560.72,560.72,NORMAL,SYNTHETIC_SCENARIO
ORD-0000005,2026-09-03,Eldoret,AGO,OMC_E,135.45,135.45,NORMAL,SYNTHETIC_SCENARIO
ORD-0000006,2026-09-03,Eldoret,AGO,OMC_F,53.08,53.08,NORMAL,SYNTHETIC_SCENARIO
ORD-0000007,2026-09-04,Eldoret,AGO,OMC_A,271.69,271.69,HIGH,SYNTHETIC_SCENARIO
ORD-0000008,2026-09-04,Eldoret,AGO,OMC_B,292.59,292.59,NORMAL,SYNTHETIC_SCENARIO
ORD-0000009,2026-09-04,Eldoret,AGO,OMC_C,405.93,405.93,NORMAL,SYNTHETIC_SCENARIO
ORD-0000010,2026-09-04,Eldoret,AGO,OMC_D,285.51,285.51,NORMAL,SYNTHETIC_SCENARIO
ORD-0000011,2026-09-04,Eldoret,AGO,OMC_E,150.73,150.73,HIGH,SYNTHETIC_SCENARIO
ORD-0000012,2026-09-04,Eldoret,AGO,OMC_F,16.76,16.76,NORMAL,SYNTHETIC_SCENARIO
ORD-0000013,2026-09-05,Eldoret,AGO,OMC_A,202.76,202.76,NORMAL,SYNTHETIC_SCENARIO
ORD-0000014,2026-09-05,Eldoret,AGO,OMC_B,141.37,141.37,NORMAL,SYNTHETIC_SCENARIO
ORD-0000015,2026-09-05,Eldoret,AGO,OMC_C,602.47,602.47,NORMAL,SYNTHETIC_SCENARIO
ORD-0000016,2026-09-05,Eldoret,AGO,OMC_D,26.09,26.09,NORMAL,SYNTHETIC_SCENARIO
ORD-0000017,2026-09-05,Eldoret,AGO,OMC_E,267.47,267.47,NORMAL,SYNTHETIC_SCENARIO
ORD-0000018,2026-09-05,Eldoret,AGO,OMC_F,75.55,75.55,NORMAL,SYNTHETIC_SCENARIO
