date,record_status,policy,depot,product,tank_capacity_m3,opening_stock_m3,customer_orders_m3,pipeline_receipts_m3,emergency_truck_receipts_m3,dispatch_m3,unfulfilled_demand_m3,closing_stock_m3,safety_stock_m3,reorder_point_m3,days_of_cover,pipeline_line,pipeline_flow_limit_m3_hr,pipeline_available,pump_available,loading_bays_available,loading_capacity_m3,trucks_requested,trucks_loaded,avg_truck_turnaround_min,queue_time_min,delayed_trucks,batch_triggered,batch_volume_m3,emergency_replenishment,holiday_flag,event_label,rainfall_mm,reference_price_kes_l,day_of_week,month,year,stock_status,autonomous_action,capacity_breach_flag,inventory_reconciliation_error
2021-01-01,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,14504.86,1130.43,0.0,0.0,1130.43,0.0,13374.43,6138.16,9426.46,11.83,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,32,32,64.9,22.9,1,0,0.0,0,1,NORMAL,0.59,117.54,Friday,1,2021,HEALTHY,NONE,0,0
2021-01-02,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,13374.43,1116.66,0.0,0.0,1116.66,0.0,12257.77,6138.16,9426.46,10.98,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,31,31,55.4,13.4,1,0,0.0,0,0,NORMAL,0.58,114.26,Saturday,1,2021,HEALTHY,NONE,0,0
2021-01-03,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,12257.77,994.27,0.0,0.0,994.27,0.0,11263.5,6138.16,9426.46,11.33,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,28,28,57.1,15.1,1,0,0.0,0,0,NORMAL,0.11,114.79,Sunday,1,2021,HEALTHY,NONE,0,0
2021-01-04,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,11263.5,1111.32,0.0,0.0,1111.32,0.0,10152.18,6138.16,9426.46,9.14,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,31,31,61.0,19.0,1,0,0.0,0,0,NORMAL,0.35,115.74,Monday,1,2021,HEALTHY,NONE,0,0
2021-01-05,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,10152.18,1304.84,0.0,0.0,1304.84,0.0,8847.33,6138.16,9426.46,6.78,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,36,36,62.8,20.8,1,1,8160.0,0,0,NORMAL,0.85,115.24,Tuesday,1,2021,WATCH,CREATE_PIPELINE_BATCH,0,0
2021-01-06,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,8847.33,1182.01,0.0,0.0,1182.01,0.0,7665.32,6138.16,9426.46,6.48,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,33,33,60.1,18.1,1,0,0.0,0,0,NORMAL,1.09,114.66,Wednesday,1,2021,WATCH,NONE,0,0
2021-01-07,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,7665.32,1162.08,8160.0,0.0,1162.08,0.0,14663.24,6138.16,9426.46,12.62,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,32,32,50.8,8.8,1,0,0.0,0,0,NORMAL,0.86,114.21,Thursday,1,2021,HEALTHY,NONE,0,0
2021-01-08,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,14663.24,1244.58,0.0,0.0,1244.58,0.0,13418.67,6138.16,9426.46,10.78,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,35,35,49.5,7.5,1,0,0.0,0,0,NORMAL,0.76,115.26,Friday,1,2021,HEALTHY,NONE,0,0
2021-01-09,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,13418.67,1036.9,0.0,0.0,1036.9,0.0,12381.77,6138.16,9426.46,11.94,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,29,29,49.4,7.4,1,0,0.0,0,0,NORMAL,0.42,114.6,Saturday,1,2021,HEALTHY,NONE,0,0
2021-01-10,SIMULATED_HISTORY,AUTONOMOUS,Eldoret,AGO,21922,12381.77,981.09,0.0,0.0,981.09,0.0,11400.68,6138.16,9426.46,11.62,Line 4 (Nairobi-Eldoret),510,1,1,5,4000.0,27,27,52.6,10.6,1,0,0.0,0,0,NORMAL,0.46,114.69,Sunday,1,2021,HEALTHY,NONE,0,0
