depot,product,capacity_m3,source_type,source_url
Nairobi,PMS,71726,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Nairobi,AGO,66551,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Nairobi,DPK,57187,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Nairobi,JET_A1,37116,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Nakuru,PMS,12163,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Nakuru,AGO,15702,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Nakuru,DPK,2668,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Kisumu,PMS,14371,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Kisumu,AGO,29388,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Kisumu,DPK,5013,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Kisumu,JET_A1,6516,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Eldoret,PMS,15471,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Eldoret,AGO,21922,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Eldoret,DPK,4413,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
Eldoret,JET_A1,6283,OFFICIAL_KPC_PUBLISHED,https://www.kpc.co.ke/wp-content/uploads/2026/01/Kenya_Pipeline_Company_IPO-4.pdf
