event_id,depot,event_type,severity,start_date,end_date,duration_days,impact_percent,source_type
EV-NAI-2021-00001,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2021-12-12,2021-12-12,1,100,SYNTHETIC_SCENARIO
EV-NAI-2021-00002,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2021-05-19,2021-05-20,2,100,SYNTHETIC_SCENARIO
EV-NAI-2021-00003,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2021-05-02,2021-05-02,1,100,SYNTHETIC_SCENARIO
EV-NAI-2021-00004,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2021-08-02,2021-08-02,1,100,SYNTHETIC_SCENARIO
EV-NAI-2021-00005,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2021-09-05,2021-09-05,1,100,SYNTHETIC_SCENARIO
EV-NAI-2021-00006,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2021-12-09,2021-12-09,1,35,SYNTHETIC_SCENARIO
EV-NAI-2021-00007,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2021-11-20,2021-11-20,1,35,SYNTHETIC_SCENARIO
EV-NAI-2021-00008,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2021-01-24,2021-01-24,1,35,SYNTHETIC_SCENARIO
EV-NAI-2021-00009,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2021-07-28,2021-07-28,1,35,SYNTHETIC_SCENARIO
EV-NAI-2021-00010,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2021-01-19,2021-01-19,1,35,SYNTHETIC_SCENARIO
EV-NAI-2021-00011,Nairobi,DATA_LATENCY_INCIDENT,LOW,2021-05-04,2021-05-04,1,0,SYNTHETIC_SCENARIO
EV-NAI-2021-00012,Nairobi,DATA_LATENCY_INCIDENT,LOW,2021-01-20,2021-01-20,1,0,SYNTHETIC_SCENARIO
EV-NAI-2022-00013,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2022-07-17,2022-07-18,2,100,SYNTHETIC_SCENARIO
EV-NAI-2022-00014,Nairobi,PLANNED_PIPELINE_MAINTENANCE,MEDIUM,2022-02-13,2022-02-13,1,100,SYNTHETIC_SCENARIO
EV-NAI-2022-00015,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2022-12-13,2022-12-13,1,100,SYNTHETIC_SCENARIO
EV-NAI-2022-00016,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2022-11-15,2022-11-15,1,100,SYNTHETIC_SCENARIO
EV-NAI-2022-00017,Nairobi,UNPLANNED_PUMP_FAILURE,HIGH,2022-11-15,2022-11-15,1,100,SYNTHETIC_SCENARIO
EV-NAI-2022-00018,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2022-09-30,2022-09-30,1,35,SYNTHETIC_SCENARIO
EV-NAI-2022-00019,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2022-11-13,2022-11-13,1,35,SYNTHETIC_SCENARIO
EV-NAI-2022-00020,Nairobi,LOADING_BAY_OUTAGE,MEDIUM,2022-10-03,2022-10-03,1,35,SYNTHETIC_SCENARIO
