date,record_status,depot,product,customer_orders_m3,holiday_flag,rainfall_mm,reference_price_kes_l,day_of_week,month,year,demand_lag_1_m3,demand_lag_7_m3,demand_lag_14_m3,demand_lag_28_m3,rolling_7d_mean_m3,rolling_28d_mean_m3,dow_num,dow_sin,dow_cos,month_sin,month_cos,baseline_forecast_m3
2021-01-01,SIMULATED_HISTORY,Eldoret,AGO,1130.43,1,0.59,117.54,Friday,1,2021,,,,,,,4,-0.433884,-0.900969,0.0,1.0,
2021-01-02,SIMULATED_HISTORY,Eldoret,AGO,1116.66,0,0.58,114.26,Saturday,1,2021,1130.43,,,,,,5,-0.974928,-0.222521,0.0,1.0,
2021-01-03,SIMULATED_HISTORY,Eldoret,AGO,994.27,0,0.11,114.79,Sunday,1,2021,1116.66,,,,,,6,-0.781831,0.62349,0.0,1.0,
2021-01-04,SIMULATED_HISTORY,Eldoret,AGO,1111.32,0,0.35,115.74,Monday,1,2021,994.27,,,,1080.45,,0,0.0,1.0,0.0,1.0,
2021-01-05,SIMULATED_HISTORY,Eldoret,AGO,1304.84,0,0.85,115.24,Tuesday,1,2021,1111.32,,,,1088.17,,1,0.781831,0.62349,0.0,1.0,
2021-01-06,SIMULATED_HISTORY,Eldoret,AGO,1182.01,0,1.09,114.66,Wednesday,1,2021,1304.84,,,,1131.5,,2,0.974928,-0.222521,0.0,1.0,
2021-01-07,SIMULATED_HISTORY,Eldoret,AGO,1162.08,0,0.86,114.21,Thursday,1,2021,1182.01,,,,1139.92,,3,0.433884,-0.900969,0.0,1.0,
2021-01-08,SIMULATED_HISTORY,Eldoret,AGO,1244.58,0,0.76,115.26,Friday,1,2021,1162.08,1130.43,,,1143.09,1143.09,4,-0.433884,-0.900969,0.0,1.0,1136.13
2021-01-09,SIMULATED_HISTORY,Eldoret,AGO,1036.9,0,0.42,114.6,Saturday,1,2021,1244.58,1116.66,,,1159.39,1155.77,5,-0.974928,-0.222521,0.0,1.0,1134.26
2021-01-10,SIMULATED_HISTORY,Eldoret,AGO,981.09,0,0.46,114.69,Sunday,1,2021,1036.9,994.27,,,1148.0,1142.57,6,-0.781831,0.62349,0.0,1.0,1061.0
2021-01-11,SIMULATED_HISTORY,Eldoret,AGO,1129.62,0,0.96,114.9,Monday,1,2021,981.09,1111.32,,,1146.12,1126.42,0,0.0,1.0,0.0,1.0,1118.11
2021-01-12,SIMULATED_HISTORY,Eldoret,AGO,1118.56,0,1.81,115.54,Tuesday,1,2021,1129.62,1304.84,,,1148.73,1126.71,1,0.781831,0.62349,0.0,1.0,1224.68
2021-01-13,SIMULATED_HISTORY,Eldoret,AGO,1065.1,0,0.27,115.71,Wednesday,1,2021,1118.56,1182.01,,,1122.12,1126.03,2,0.974928,-0.222521,0.0,1.0,1156.82
2021-01-14,SIMULATED_HISTORY,Eldoret,AGO,1158.0,0,1.23,116.64,Thursday,1,2021,1065.1,1162.08,,,1105.42,1121.34,3,0.433884,-0.900969,0.0,1.0,1143.75
2021-01-15,SIMULATED_HISTORY,Eldoret,AGO,1188.9,0,0.36,114.18,Friday,1,2021,1158.0,1244.58,1130.43,,1104.84,1123.96,4,-0.433884,-0.900969,0.0,1.0,1190.3
2021-01-16,SIMULATED_HISTORY,Eldoret,AGO,1118.17,0,0.99,115.43,Saturday,1,2021,1188.9,1036.9,1116.66,,1096.88,1128.29,5,-0.974928,-0.222521,0.0,1.0,1078.03
