batch_id,policy,trigger_date,origin,destination,product,pipeline_line,flow_limit_m3_hr,scheduled_volume_m3,scheduled_arrival_date,actual_arrival_date,delay_days,delivered_volume_m3,reason,automated_trigger,status
AUT-B-000001,AUTONOMOUS,2021-01-05,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-01-07,2021-01-07,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000002,AUTONOMOUS,2021-01-12,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-01-14,2021-01-14,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000003,AUTONOMOUS,2021-01-20,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-01-22,2021-01-22,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000004,AUTONOMOUS,2021-01-27,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-01-29,2021-01-30,1,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000005,AUTONOMOUS,2021-02-03,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-02-05,2021-02-05,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000006,AUTONOMOUS,2021-02-12,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-02-14,2021-02-14,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000007,AUTONOMOUS,2021-02-19,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-02-21,2021-02-21,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000008,AUTONOMOUS,2021-02-27,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-03-01,2021-03-01,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000009,AUTONOMOUS,2021-03-07,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-03-09,2021-03-09,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000010,AUTONOMOUS,2021-03-15,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-03-17,2021-03-17,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000011,AUTONOMOUS,2021-03-22,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-03-24,2021-03-24,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000012,AUTONOMOUS,2021-03-30,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-04-01,2021-04-01,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000013,AUTONOMOUS,2021-04-06,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-04-08,2021-04-08,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000014,AUTONOMOUS,2021-04-13,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-04-15,2021-04-15,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000015,AUTONOMOUS,2021-04-21,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-04-23,2021-04-23,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000016,AUTONOMOUS,2021-04-28,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-04-30,2021-04-30,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
AUT-B-000017,AUTONOMOUS,2021-05-05,Nairobi/Upstream Hub,Eldoret,AGO,Line 4 (Nairobi-Eldoret),510,8160.0,2021-05-07,2021-05-07,0,8160.0,REORDER_POINT_BREACH,1,COMPLETED
