month_key,baseline_unfulfilled_m3,baseline_emergency_m3,baseline_batch_actions,baseline_stockout_days,baseline_demand_m3,baseline_dispatch_m3,autonomous_unfulfilled_m3,autonomous_emergency_m3,autonomous_batch_actions,autonomous_stockout_days,autonomous_demand_m3,autonomous_dispatch_m3,stockout_m3_avoided,emergency_m3_avoided,service_level_baseline_pct,service_level_autonomous_pct
2026-01,0.0,7544.67,66,0,403423.93,403423.93,0.0,0.0,49,0,403423.93,403423.93,0.0,7544.67,1.0,1.0
2026-02,0.0,4751.96,58,0,327795.95,327795.95,0.0,0.0,38,0,327795.95,327795.95,0.0,4751.96,1.0,1.0
2026-03,0.0,7522.63,66,0,382092.69,382092.69,0.0,0.0,43,0,382092.69,382092.69,0.0,7522.63,1.0,1.0
2026-04,0.0,4678.98,63,0,375517.34,375517.34,0.0,0.0,45,0,375517.34,375517.34,0.0,4678.98,1.0,1.0
2026-05,0.0,6773.24,68,0,388428.23,388428.23,0.0,0.0,47,0,388428.23,388428.23,0.0,6773.24,1.0,1.0
2026-06,0.0,4005.28,60,0,357532.5,357532.5,0.0,0.0,41,0,357532.5,357532.5,0.0,4005.28,1.0,1.0
2026-07,0.0,6697.19,66,0,384956.24,384956.24,0.0,0.0,44,0,384956.24,384956.24,0.0,6697.19,1.0,1.0
2026-08,0.0,6281.34,65,0,381487.33,381487.33,0.0,0.0,47,0,381487.33,381487.33,0.0,6281.34,1.0,1.0
2026-09,0.0,10958.54,61,0,362337.35,362337.35,0.0,0.0,42,0,362337.35,362337.35,0.0,10958.54,1.0,1.0
2026-10,0.0,9851.55,72,0,416674.91,416674.91,0.0,0.0,47,0,416674.91,416674.91,0.0,9851.55,1.0,1.0
2026-11,0.0,6344.16,60,0,356632.88,356632.88,0.0,0.0,43,0,356632.88,356632.88,0.0,6344.16,1.0,1.0
2026-12,0.0,9250.02,68,0,412933.83,412933.83,0.0,0.0,48,0,412933.83,412933.83,0.0,9250.02,1.0,1.0
