date,record_status,depot,product,trucks_requested,trucks_loaded,avg_truck_turnaround_min,queue_time_min,delayed_trucks,dispatch_m3,loading_bays_available,loading_capacity_m3,event_label
2021-01-01,SIMULATED_HISTORY,Eldoret,AGO,32,32,64.9,22.9,1,1130.43,5,4000.0,NORMAL
2021-01-02,SIMULATED_HISTORY,Eldoret,AGO,31,31,55.4,13.4,1,1116.66,5,4000.0,NORMAL
2021-01-03,SIMULATED_HISTORY,Eldoret,AGO,28,28,57.1,15.1,1,994.27,5,4000.0,NORMAL
2021-01-04,SIMULATED_HISTORY,Eldoret,AGO,31,31,61.0,19.0,1,1111.32,5,4000.0,NORMAL
2021-01-05,SIMULATED_HISTORY,Eldoret,AGO,36,36,62.8,20.8,1,1304.84,5,4000.0,NORMAL
2021-01-06,SIMULATED_HISTORY,Eldoret,AGO,33,33,60.1,18.1,1,1182.01,5,4000.0,NORMAL
2021-01-07,SIMULATED_HISTORY,Eldoret,AGO,32,32,50.8,8.8,1,1162.08,5,4000.0,NORMAL
2021-01-08,SIMULATED_HISTORY,Eldoret,AGO,35,35,49.5,7.5,1,1244.58,5,4000.0,NORMAL
2021-01-09,SIMULATED_HISTORY,Eldoret,AGO,29,29,49.4,7.4,1,1036.9,5,4000.0,NORMAL
2021-01-10,SIMULATED_HISTORY,Eldoret,AGO,27,27,52.6,10.6,1,981.09,5,4000.0,NORMAL
2021-01-11,SIMULATED_HISTORY,Eldoret,AGO,32,32,60.1,18.1,1,1129.62,5,4000.0,NORMAL
2021-01-12,SIMULATED_HISTORY,Eldoret,AGO,31,31,51.9,9.9,1,1118.56,5,4000.0,NORMAL
2021-01-13,SIMULATED_HISTORY,Eldoret,AGO,30,30,64.2,22.2,1,1065.1,5,4000.0,NORMAL
2021-01-14,SIMULATED_HISTORY,Eldoret,AGO,32,32,62.1,20.1,1,1158.0,5,4000.0,NORMAL
2021-01-15,SIMULATED_HISTORY,Eldoret,AGO,33,33,37.3,0.0,1,1188.9,5,4000.0,NORMAL
2021-01-16,SIMULATED_HISTORY,Eldoret,AGO,31,31,61.1,19.1,1,1118.17,5,4000.0,NORMAL
2021-01-17,SIMULATED_HISTORY,Eldoret,AGO,29,29,95.4,53.4,5,1031.11,4,3200.0,LOADING_BAY_OUTAGE
2021-01-18,SIMULATED_HISTORY,Eldoret,AGO,29,29,41.4,0.0,1,1030.44,5,4000.0,UNPLANNED_PUMP_FAILURE
2021-01-19,SIMULATED_HISTORY,Eldoret,AGO,34,34,48.3,6.3,1,1216.0,5,4000.0,DATA_LATENCY_INCIDENT
2021-01-20,SIMULATED_HISTORY,Eldoret,AGO,34,34,71.9,29.9,3,1231.15,5,4000.0,NORMAL
2021-01-21,SIMULATED_HISTORY,Eldoret,AGO,33,33,46.3,4.3,1,1177.96,5,4000.0,NORMAL
2021-01-22,SIMULATED_HISTORY,Eldoret,AGO,32,32,53.1,11.1,1,1162.56,5,4000.0,NORMAL
2021-01-23,SIMULATED_HISTORY,Eldoret,AGO,27,27,60.0,18.0,1,955.66,5,4000.0,NORMAL
2021-01-24,SIMULATED_HISTORY,Eldoret,AGO,26,26,51.6,9.6,1,937.38,5,4000.0,NORMAL
2021-01-25,SIMULATED_HISTORY,Eldoret,AGO,33,33,51.8,9.8,1,1174.93,5,4000.0,NORMAL
2021-01-26,SIMULATED_HISTORY,Eldoret,AGO,31,31,62.4,20.4,1,1125.12,5,4000.0,NORMAL
2021-01-27,SIMULATED_HISTORY,Eldoret,AGO,35,35,58.2,16.2,1,1246.48,5,4000.0,NORMAL
2021-01-28,SIMULATED_HISTORY,Eldoret,AGO,34,34,55.4,13.4,1,1206.46,5,4000.0,NORMAL
2021-01-29,SIMULATED_HISTORY,Eldoret,AGO,31,31,67.5,25.5,2,1096.22,5,4000.0,PLANNED_PIPELINE_MAINTENANCE
2021-01-30,SIMULATED_HISTORY,Eldoret,AGO,26,26,48.1,6.1,1,942.8,5,4000.0,NORMAL
2021-01-31,SIMULATED_HISTORY,Eldoret,AGO,28,28,55.2,13.2,1,991.05,5,4000.0,NORMAL
2021-02-01,SIMULATED_HISTORY,Eldoret,AGO,28,28,49.1,7.1,1,1017.35,5,4000.0,NORMAL
2021-02-02,SIMULATED_HISTORY,Eldoret,AGO,31,31,58.8,16.8,1,1109.01,5,4000.0,NORMAL
2021-02-03,SIMULATED_HISTORY,Eldoret,AGO,30,30,55.7,13.7,1,1064.03,5,4000.0,NORMAL
2021-02-04,SIMULATED_HISTORY,Eldoret,AGO,29,29,56.3,14.3,1,1050.21,5,4000.0,DATA_LATENCY_INCIDENT
2021-02-05,SIMULATED_HISTORY,Eldoret,AGO,28,28,65.4,23.4,1,982.98,5,4000.0,NORMAL
2021-02-06,SIMULATED_HISTORY,Eldoret,AGO,28,28,102.5,60.5,6,1012.29,4,3200.0,LOADING_BAY_OUTAGE
2021-02-07,SIMULATED_HISTORY,Eldoret,AGO,26,26,54.3,12.3,1,926.88,5,4000.0,NORMAL
2021-02-08,SIMULATED_HISTORY,Eldoret,AGO,31,31,66.0,24.0,2,1093.42,5,4000.0,NORMAL
2021-02-09,SIMULATED_HISTORY,Eldoret,AGO,28,28,54.4,12.4,1,998.17,5,4000.0,NORMAL
2021-02-10,SIMULATED_HISTORY,Eldoret,AGO,26,26,55.5,13.5,1,945.39,5,4000.0,NORMAL
2021-02-11,SIMULATED_HISTORY,Eldoret,AGO,30,30,69.9,27.9,2,1079.56,5,4000.0,NORMAL
2021-02-12,SIMULATED_HISTORY,Eldoret,AGO,33,33,66.1,24.1,2,1189.17,5,4000.0,NORMAL
2021-02-13,SIMULATED_HISTORY,Eldoret,AGO,27,27,58.4,16.4,1,979.38,5,4000.0,NORMAL
2021-02-14,SIMULATED_HISTORY,Eldoret,AGO,24,24,56.7,14.7,0,845.08,5,4000.0,NORMAL
2021-02-15,SIMULATED_HISTORY,Eldoret,AGO,28,28,61.5,19.5,1,997.73,5,4000.0,NORMAL
2021-02-16,SIMULATED_HISTORY,Eldoret,AGO,30,30,63.2,21.2,1,1061.22,5,4000.0,NORMAL
2021-02-17,SIMULATED_HISTORY,Eldoret,AGO,29,29,51.2,9.2,1,1039.32,5,4000.0,NORMAL
2021-02-18,SIMULATED_HISTORY,Eldoret,AGO,30,30,62.1,20.1,1,1085.9,5,4000.0,NORMAL
2021-02-19,SIMULATED_HISTORY,Eldoret,AGO,35,35,62.0,20.0,1,1244.68,5,4000.0,NORMAL
2021-02-20,SIMULATED_HISTORY,Eldoret,AGO,27,27,46.5,4.5,1,973.59,5,4000.0,NORMAL
2021-02-21,SIMULATED_HISTORY,Eldoret,AGO,23,23,47.2,5.2,0,821.34,5,4000.0,NORMAL
2021-02-22,SIMULATED_HISTORY,Eldoret,AGO,27,27,57.6,15.6,1,978.15,5,4000.0,NORMAL
2021-02-23,SIMULATED_HISTORY,Eldoret,AGO,30,30,55.1,13.1,1,1078.79,5,4000.0,NORMAL
2021-02-24,SIMULATED_HISTORY,Eldoret,AGO,26,26,50.8,8.8,1,940.2,5,4000.0,NORMAL
2021-02-25,SIMULATED_HISTORY,Eldoret,AGO,32,32,57.1,15.1,1,1135.68,5,4000.0,NORMAL
2021-02-26,SIMULATED_HISTORY,Eldoret,AGO,33,33,54.2,12.2,1,1187.11,5,4000.0,NORMAL
2021-02-27,SIMULATED_HISTORY,Eldoret,AGO,27,27,58.5,16.5,1,972.09,5,4000.0,NORMAL
2021-02-28,SIMULATED_HISTORY,Eldoret,AGO,22,22,54.6,12.6,0,765.93,5,4000.0,NORMAL
2021-03-01,SIMULATED_HISTORY,Eldoret,AGO,32,32,54.6,12.6,1,1128.17,5,4000.0,NORMAL
2021-03-02,SIMULATED_HISTORY,Eldoret,AGO,33,33,57.3,15.3,1,1165.23,5,4000.0,NORMAL
2021-03-03,SIMULATED_HISTORY,Eldoret,AGO,29,29,45.2,3.2,1,1033.96,5,4000.0,NORMAL
2021-03-04,SIMULATED_HISTORY,Eldoret,AGO,32,32,56.0,14.0,1,1132.63,5,4000.0,NORMAL
2021-03-05,SIMULATED_HISTORY,Eldoret,AGO,33,33,52.5,10.5,1,1169.04,5,4000.0,NORMAL
2021-03-06,SIMULATED_HISTORY,Eldoret,AGO,29,29,54.5,12.5,1,1029.93,5,4000.0,NORMAL
2021-03-07,SIMULATED_HISTORY,Eldoret,AGO,25,25,49.0,7.0,0,899.88,5,4000.0,NORMAL
2021-03-08,SIMULATED_HISTORY,Eldoret,AGO,31,31,54.2,12.2,1,1100.47,5,4000.0,NORMAL
2021-03-09,SIMULATED_HISTORY,Eldoret,AGO,32,32,47.8,5.8,1,1146.71,5,4000.0,NORMAL
2021-03-10,SIMULATED_HISTORY,Eldoret,AGO,29,29,65.5,23.5,1,1032.94,5,4000.0,NORMAL
